Cataract-intellectual disability-hypogonadism syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
31	GO:CC	GO:0005968	Rab-protein geranylgeranyltransferase complex	1.173023107521285e-08	True	"""An protein-containing complex which catalyzes of the transfer of a geranyl-geranyl group from geranylgeranyl pyrophosphate to a Rab protein. In mammals it is composed of an alpha and a beta subunit, and associates with an accessory protein Rep (Rab escort protein)."" [GOC:jl, PMID:11886217]"	4	95	4	16420	0.0421052631578947	1.0	query_1	['GO:0005737', 'GO:1990234']	['RABGGTB', 'RABGGTA', 'CHM', 'CHML']
8	REAC	REAC:R-HSA-392499	Metabolism of proteins	1.459215003845352e-08	True	Metabolism of proteins	1857	82	40	10022	0.4878048780487805	0.0215401184706515	query_1	['REAC:0000000']	['RAB34', 'RAB14', 'RAB1B', 'RAB7A', 'RAB39A', 'RAB8A', 'RAB31', 'APH1B', 'RAB8B', 'BACE1', 'RABGGTB', 'RAB32', 'RAB5B', 'NCSTN', 'RAB5C', 'RABGGTA', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'PSENEN', 'RAB1A', 'CHML', 'GGA2', 'NAT8', 'GGA3', 'TRIM4', 'APH1A', 'AURKA', 'RAB10', 'RAB18', 'APP', 'RAB35', 'RAB23', 'RAB3A', 'RAB22A', 'PTP4A2', 'RAB6A']
32	GO:CC	GO:0045202	synapse	1.8904221659175362e-08	True	"""The junction between an axon of one neuron and a dendrite of another neuron, a muscle fiber or a glial cell. As the axon approaches the synapse it enlarges into a specialized structure, the presynaptic terminal bouton, which contains mitochondria and synaptic vesicles. At the tip of the terminal bouton is the presynaptic membrane; facing it, and separated from it by a minute cleft (the synaptic cleft) is a specialized area of membrane on the receiving cell, known as the postsynaptic membrane. In response to the arrival of nerve impulses, the presynaptic terminal bouton secretes molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane."" [GOC:aruk, ISBN:0198506732, PMID:24619342, PMID:29383328, PMID:31998110]"	1367	95	28	16420	0.2947368421052631	0.0204828090709583	query_1	['GO:0030054']	['SORT1', 'RAB7A', 'EEA1', 'RAB8A', 'PSEN1', 'HTT', 'RAB8B', 'BACE1', 'VPS45', 'RAB5B', 'NCSTN', 'RAB5A', 'RAB4A', 'RAB13', 'NGFR', 'PSENEN', 'PPFIA3', 'GDI1', 'MECP2', 'APH1A', 'AURKA', 'NGF', 'GDI2', 'RAB10', 'APP', 'RAB35', 'RAB3GAP1', 'RAB3A']
32	GO:BP	GO:0090382	phagosome maturation	1.929465860126528e-08	True	"""A process that is carried out at the cellular level which results in the arrangement of constituent parts of a phagosome within a cell. Phagosome maturation begins with endocytosis and formation of the early phagosome and ends with the formation of the hybrid organelle, the phagolysosome."" [GOC:kmv, GOC:tb]"	28	95	7	15719	0.0736842105263157	0.25	query_1	['GO:0006996']	['RAB34', 'RAB14', 'RAB7A', 'RAB39A', 'RAB31', 'RAB32', 'RAB38']
33	GO:CC	GO:0048471	perinuclear region of cytoplasm	4.0081851733617456e-08	True	"""Cytoplasm situated near, or occurring around, the nucleus."" [GOC:jid]"	717	95	20	16420	0.2105263157894736	0.0278940027894002	query_1	['GO:0005737', 'GO:0110165']	['RAB34', 'RAB14', 'RAB1B', 'SORT1', 'OPTN', 'MTDH', 'PSEN1', 'HTT', 'RAB8B', 'RAB3IP', 'RAB38', 'RAB4A', 'EHD3', 'EHD2', 'AURKA', 'RAB10', 'SIRT2', 'APP', 'EHD1', 'RAB3A']
9	REAC	REAC:R-HSA-9017802	Noncanonical activation of NOTCH3	5.6091693290921197e-08	True	Noncanonical activation of NOTCH3	8	82	5	10022	0.0609756097560975	0.625	query_1	['REAC:R-HSA-9013507']	['PSEN1', 'APH1B', 'NCSTN', 'PSENEN', 'APH1A']
33	GO:BP	GO:0033365	protein localization to organelle	5.750245479514397e-08	True	"""A process in which a protein is transported to, or maintained in, a location within an organelle."" [GOC:mah]"	924	95	24	15719	0.2526315789473684	0.0259740259740259	query_1	['GO:0008104']	['SORT1', 'RAB7A', 'OPTN', 'MICALL1', 'RAB8A', 'PSEN1', 'HPS4', 'RAB8B', 'RABEP1', 'RAB3IP', 'GGA1', 'NGFR', 'RAB3GAP2', 'GGA3', 'YWHAE', 'AURKA', 'GDI2', 'RAB10', 'RAB35', 'SUN2', 'EHD1', 'RAB23', 'RAB3GAP1', 'RAB6A']
34	GO:BP	GO:0007220	Notch receptor processing	6.490614123566457e-08	True	"""The series of successive proteolytic cleavages of the Notch protein, which result in an active form of the receptor."" [PMID:12651094, PMID:14986688]"	9	95	5	15719	0.0526315789473684	0.5555555555555556	query_1	['GO:0019538']	['PSEN1', 'APH1B', 'NCSTN', 'PSENEN', 'APH1A']
34	GO:CC	GO:0030054	cell junction	6.577233011158417e-08	True	"""A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella."" [GOC:aruk, GOC:bc, GOC:mah, http://www.vivo.colostate.edu/hbooks/cmb/cells/pmemb/junctions_a.html, ISBN:0198506732, PMID:26820516, PMID:28096264]"	2080	95	34	16420	0.3578947368421052	0.0163461538461538	query_1	['GO:0110165']	['SORT1', 'RAB7A', 'EEA1', 'MTDH', 'RAB8A', 'PSEN1', 'HTT', 'RAB8B', 'BACE1', 'VPS45', 'RAB5B', 'NCSTN', 'RAB5A', 'RAB4A', 'RAB13', 'NGFR', 'EHD3', 'PSENEN', 'SHROOM3', 'YWHAE', 'PPFIA3', 'GDI1', 'MECP2', 'APH1A', 'AURKA', 'NGF', 'GDI2', 'RAB10', 'SIRT2', 'APP', 'RAB35', 'RAB23', 'RAB3GAP1', 'RAB3A']
35	GO:BP	GO:0060627	regulation of vesicle-mediated transport	1.2035208207326798e-07	True	"""Any process that modulates the rate, frequency, or extent of vesicle-mediated transport, the directed movement of substances, either within a vesicle or in the vesicle membrane, into, out of or within a cell."" [GOC:dph, GOC:tb]"	519	95	18	15719	0.1894736842105263	0.0346820809248554	query_1	['GO:0016192', 'GO:0050794', 'GO:0051049']	['RAB7A', 'RUFY1', 'RAB8A', 'PSEN1', 'RAB31', 'RAB8B', 'RAB5B', 'RIN3', 'RABGEF1', 'RAB5C', 'RAB5A', 'RAB4A', 'RAB13', 'EHD2', 'RAB10', 'EHD1', 'RAB3GAP1', 'RAB3A']
35	GO:CC	GO:0016020	membrane	1.4898600370464376e-07	True	"""A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it."" [GOC:dos, GOC:mah, ISBN:0815316194]"	8365	95	75	16420	0.7894736842105263	0.0089659294680215	query_1	['GO:0110165']	['RAB34', 'RAB14', 'GPAM', 'RBSN', 'RAB1B', 'SORT1', 'ANKLE2', 'RAB7A', 'RUFY1', 'EEA1', 'PAWR', 'OPTN', 'RAB39A', 'MICALL1', 'MTDH', 'RAB8A', 'PSEN1', 'HTT', 'TMEM102', 'TMEM9', 'RAB31', 'APH1B', 'OSBPL1A', 'BMX', 'HPS4', 'RAB8B', 'BACE1', 'RABGGTB', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'NCSTN', 'RABGEF1', 'HMMR', 'RAB5C', 'RABGGTA', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'PSENEN', 'RAB1A', 'SHROOM3', 'CHML', 'GGA2', 'NAT8', 'RAB3GAP2', 'GGA3', 'YWHAE', 'TRIM4', 'EHD2', 'APH1A', 'AURKA', 'NTRK1', 'GDI2', 'RAB10', 'SIRT2', 'RAB18', 'APP', 'RAB35', 'SUN2', 'DDX3Y', 'EHD1', 'GOLGA7B', 'RAB23', 'RAB3GAP1', 'RAB3A', 'RAB22A', 'PTP4A2', 'RAB6A']
36	GO:BP	GO:0043001	Golgi to plasma membrane protein transport	2.117923104682144e-07	True	"""The directed movement of proteins from the Golgi to the plasma membrane in transport vesicles that move from the trans-Golgi network to the plasma membrane."" [ISBN:0716731363]"	39	95	7	15719	0.0736842105263157	0.1794871794871795	query_1	['GO:0006893', 'GO:0015031', 'GO:0061951']	['RAB34', 'OPTN', 'RAB31', 'GGA1', 'GGA2', 'GGA3', 'RAB10']
36	GO:CC	GO:0005773	vacuole	2.3275188719005961e-07	True	"""A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol."" [GOC:mtg_sensu, ISBN:0198506732]"	800	95	20	16420	0.2105263157894736	0.025	query_1	['GO:0005737', 'GO:0043231']	['RAB14', 'SORT1', 'RAB7A', 'OPTN', 'RAB39A', 'PSEN1', 'HTT', 'TMEM9', 'HPS4', 'BACE1', 'NCSTN', 'RAB5C', 'RAB38', 'RILP', 'GGA3', 'GDI2', 'TBC1D17', 'RAB23', 'HPS1', 'RAB3A']
37	GO:BP	GO:0016482	cytosolic transport	3.5901037559895295e-07	True	"""The directed movement of substances or organelles within the cytosol."" [GOC:ai]"	168	95	11	15719	0.1157894736842105	0.0654761904761904	query_1	['GO:0046907']	['RAB14', 'RBSN', 'SORT1', 'RAB7A', 'EEA1', 'RAB5A', 'GGA1', 'RILP', 'EHD3', 'TBC1D17', 'RAB6A']
10	REAC	REAC:R-HSA-9013700	NOTCH4 Activation and Transmission of Signal to the Nucleus	4.126580495683284e-07	True	NOTCH4 Activation and Transmission of Signal to the Nucleus	11	82	5	10022	0.0609756097560975	0.4545454545454545	query_1	['REAC:R-HSA-9013694']	['PSEN1', 'APH1B', 'NCSTN', 'PSENEN', 'APH1A']
38	GO:BP	GO:0034205	amyloid-beta formation	4.127791498451042e-07	True	"""The generation of amyloid-beta by cleavage of the amyloid precursor protein (APP)."" [GOC:mah]"	43	95	7	15719	0.0736842105263157	0.1627906976744186	query_1	['GO:0042987', 'GO:0050435']	['PSEN1', 'APH1B', 'BACE1', 'NCSTN', 'PSENEN', 'GGA3', 'APH1A']
11	REAC	REAC:R-HSA-977225	Amyloid fiber formation	4.454888390083857e-07	True	Amyloid fiber formation	109	82	10	10022	0.1219512195121951	0.091743119266055	query_1	['REAC:R-HSA-392499']	['APH1B', 'BACE1', 'NCSTN', 'GGA1', 'PSENEN', 'GGA2', 'NAT8', 'GGA3', 'APH1A', 'APP']
37	GO:CC	GO:0031984	organelle subcompartment	4.624799784423518e-07	True	"""A compartment that consists of a lumen and an enclosing membrane, and is part of an organelle."" [GOC:mah, GOC:pz]"	1388	95	26	16420	0.2736842105263158	0.0187319884726224	query_1	['GO:0043227', 'GO:0043229', 'GO:0110165']	['RAB34', 'RAB14', 'RAB1B', 'SORT1', 'ANKLE2', 'OPTN', 'MTDH', 'RAB8A', 'PSEN1', 'RAB31', 'BACE1', 'RAB32', 'RAB38', 'GGA1', 'RAB13', 'PSENEN', 'GGA2', 'NAT8', 'RAB3GAP2', 'GGA3', 'APH1A', 'RAB10', 'RAB18', 'APP', 'RAB3GAP1', 'RAB6A']
12	REAC	REAC:R-HSA-597592	Post-translational protein modification	5.137236450524977e-07	True	Post-translational protein modification	1337	82	31	10022	0.3780487804878049	0.0231862378459237	query_1	['REAC:R-HSA-392499']	['RAB34', 'RAB14', 'RAB1B', 'RAB7A', 'RAB39A', 'RAB8A', 'RAB31', 'RAB8B', 'RABGGTB', 'RAB32', 'RAB5B', 'RAB5C', 'RABGGTA', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'RAB13', 'RAB1A', 'CHML', 'TRIM4', 'AURKA', 'RAB10', 'RAB18', 'APP', 'RAB35', 'RAB23', 'RAB3A', 'RAB22A', 'PTP4A2', 'RAB6A']
39	GO:BP	GO:0042982	amyloid precursor protein metabolic process	7.2862543415005e-07	True	"""The chemical reactions and pathways involving amyloid precursor protein (APP), the precursor of amyloid-beta, a glycoprotein associated with Alzheimer's disease."" [GOC:go_curators]"	72	95	8	15719	0.0842105263157894	0.1111111111111111	query_1	['GO:0019538']	['PAWR', 'PSEN1', 'APH1B', 'BACE1', 'NCSTN', 'PSENEN', 'GGA3', 'APH1A']
40	GO:BP	GO:0006887	exocytosis	1.2178260413425405e-06	True	"""A process of secretion by a cell that results in the release of intracellular molecules (e.g. hormones, matrix proteins) contained within a membrane-bounded vesicle. Exocytosis can occur either by full fusion, when the vesicle collapses into the plasma membrane, or by a kiss-and-run mechanism that involves the formation of a transient contact, a pore, between a granule (for exemple of chromaffin cells) and the plasma membrane. The latter process most of the time leads to only partial secretion of the granule content. Exocytosis begins with steps that prepare vesicles for fusion with the membrane (tethering and docking) and ends when molecules are secreted from the cell."" [GOC:mah, ISBN:0716731363, PMID:22323285]"	346	95	14	15719	0.1473684210526315	0.0404624277456647	query_1	['GO:0016192', 'GO:0032940']	['RAB7A', 'RAB8A', 'PSEN1', 'RAB31', 'RAB8B', 'RABGEF1', 'RAB3IP', 'RAB5A', 'RAB13', 'PPFIA3', 'RAB10', 'RAB3GAP1', 'RAB3A', 'RAB3IL1']
41	GO:BP	GO:0050435	amyloid-beta metabolic process	1.3240802191676584e-06	True	"""The chemical reactions and pathways involving amyloid-beta, a glycoprotein associated with Alzheimer's disease, and its precursor, amyloid precursor protein (APP)."" [GOC:ai]"	51	95	7	15719	0.0736842105263157	0.1372549019607843	query_1	['GO:0006518']	['PSEN1', 'APH1B', 'BACE1', 'NCSTN', 'PSENEN', 'GGA3', 'APH1A']
42	GO:BP	GO:0016043	cellular component organization	1.806698211857759e-06	True	"""A process that results in the assembly, arrangement of constituent parts, or disassembly of a cellular component."" [GOC:ai, GOC:jl, GOC:mah]"	6037	95	63	15719	0.6631578947368421	0.0104356468444591	query_1	['GO:0071840']	['RAB34', 'RAB14', 'RBSN', 'RAB1B', 'SORT1', 'TPX2', 'ANKLE2', 'RAB7A', 'RUFY1', 'EEA1', 'PAWR', 'OPTN', 'RAB39A', 'MICALL1', 'RAB8A', 'PSEN1', 'HTT', 'TMEM102', 'TMEM9', 'RAB31', 'HPS4', 'RAB8B', 'BACE1', 'RABEP1', 'RAB32', 'RAB5B', 'RIN3', 'RABGEF1', 'RAB3IP', 'RAB5C', 'RAB38', 'RAB5A', 'RAB4A', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'RAB1A', 'SHROOM3', 'NAT8', 'RAB3GAP2', 'PPFIA3', 'EHD2', 'GDI1', 'MECP2', 'AURKA', 'NTRK1', 'NGF', 'GDI2', 'RAB10', 'SIRT2', 'RAB18', 'APP', 'RAB35', 'SUN2', 'EHD1', 'RAB23', 'HPS1', 'ACOT13', 'RAB3GAP1', 'RAB3A', 'RAB22A', 'RAB6A']
43	GO:BP	GO:0006996	organelle organization	1.806698211857759e-06	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]"	3437	95	45	15719	0.4736842105263157	0.0130928135001454	query_1	['GO:0016043']	['RAB34', 'RAB14', 'RBSN', 'RAB1B', 'SORT1', 'TPX2', 'ANKLE2', 'RAB7A', 'EEA1', 'PAWR', 'OPTN', 'RAB39A', 'RAB8A', 'PSEN1', 'HTT', 'TMEM102', 'TMEM9', 'RAB31', 'HPS4', 'RAB8B', 'RAB32', 'RAB5B', 'RAB3IP', 'RAB38', 'RAB5A', 'RAB13', 'RILP', 'EHD3', 'RAB1A', 'SHROOM3', 'RAB3GAP2', 'EHD2', 'MECP2', 'AURKA', 'GDI2', 'RAB10', 'SIRT2', 'RAB18', 'SUN2', 'EHD1', 'RAB23', 'HPS1', 'RAB3GAP1', 'RAB3A', 'RAB22A']
44	GO:BP	GO:0042987	amyloid precursor protein catabolic process	2.1239882702356144e-06	True	"""The chemical reactions and pathways resulting in the breakdown of amyloid precursor protein (APP), the precursor of amyloid-beta, a glycoprotein associated with Alzheimer's disease."" [GOC:go_curators]"	55	95	7	15719	0.0736842105263157	0.1272727272727272	query_1	['GO:0042982']	['PSEN1', 'APH1B', 'BACE1', 'NCSTN', 'PSENEN', 'GGA3', 'APH1A']
45	GO:BP	GO:0018344	protein geranylgeranylation	2.3813747359263632e-06	True	"""The covalent attachment of a geranylgeranyl group to a protein."" [GOC:jl]"	7	95	4	15719	0.0421052631578947	0.5714285714285714	query_1	['GO:0018342']	['RABGGTB', 'RABGGTA', 'CHM', 'CHML']
13	REAC	REAC:R-HSA-204998	Cell death signalling via NRAGE, NRIF and NADE	3.1078825956267324e-06	True	Cell death signalling via NRAGE, NRIF and NADE	74	82	8	10022	0.0975609756097561	0.1081081081081081	query_1	['REAC:R-HSA-193704']	['PSEN1', 'APH1B', 'NCSTN', 'NGFR', 'PSENEN', 'YWHAE', 'APH1A', 'NGF']
38	GO:CC	GO:0043231	intracellular membrane-bounded organelle	3.4405632719669817e-06	True	"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]"	11275	95	86	16420	0.9052631578947368	0.0076274944567627	query_1	['GO:0043227', 'GO:0043229']	['RAB34', 'RAB14', 'GPAM', 'RBSN', 'RAB1B', 'SORT1', 'TPX2', 'ANKLE2', 'RAB7A', 'RUFY1', 'EEA1', 'PAWR', 'OPTN', 'RAB39A', 'MICALL1', 'MTDH', 'RAB8A', 'PSEN1', 'HTT', 'TMEM102', 'TMEM9', 'RAB31', 'APH1B', 'OSBPL1A', 'BMX', 'HPS4', 'RAB8B', 'BACE1', 'SALL2', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RIN3', 'NCSTN', 'RABGEF1', 'SCML1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'PSENEN', 'TNRC6C', 'RAB1A', 'CHML', 'GGA2', 'NAT8', 'RAB3GAP2', 'SALL1', 'GGA3', 'YWHAE', 'PPFIA3', 'EHD2', 'GDI1', 'MECP2', 'APH1A', 'AURKA', 'NTRK1', 'NGF', 'GDI2', 'RAB10', 'TBC1D17', 'SIRT2', 'RAB18', 'APP', 'RAB35', 'SUN2', 'DDX3Y', 'EHD1', 'GOLGA7B', 'RAB23', 'HPS1', 'ACOT13', 'RAB3GAP1', 'RAB3A', 'RAB22A', 'PTP4A2', 'RAB6A', 'RAB3IL1']
46	GO:BP	GO:0022406	membrane docking	4.369488964795732e-06	True	"""The initial attachment of a membrane or protein to a target membrane. Docking requires only that the proteins come close enough to interact and adhere."" [GOC:isa_complete, PMID:27875684]"	92	95	8	15719	0.0842105263157894	0.0869565217391304	query_1	['GO:0009987']	['RAB7A', 'RAB8A', 'RAB8B', 'RAB3IP', 'RAB13', 'PPFIA3', 'RAB10', 'RAB3A']
47	GO:BP	GO:0048227	plasma membrane to endosome transport	4.543166329987774e-06	True	"""Transport of a vesicle from the plasma membrane to the endosome."" [GOC:jid]"	8	95	4	15719	0.0421052631578947	0.5	query_1	['GO:0016192']	['SORT1', 'RAB5B', 'RAB5C', 'RAB35']
39	GO:CC	GO:0005622	intracellular anatomical structure	5.775556794237648e-06	True	"""A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm."" [ISBN:0198506732]"	13702	95	94	16420	0.9894736842105264	0.0068603123631586	query_1	['GO:0110165']	['RAB34', 'RAB14', 'GPAM', 'RBSN', 'RAB1B', 'SORT1', 'TPX2', 'ANKLE2', 'RAB7A', 'RUFY1', 'EEA1', 'PAWR', 'OPTN', 'RAB39A', 'MICALL1', 'MTDH', 'RAB8A', 'PSEN1', 'AS3MT', 'HTT', 'TMEM102', 'TMEM9', 'RAB31', 'APH1B', 'OSBPL1A', 'BMX', 'HPS4', 'RAB8B', 'BACE1', 'SALL2', 'RABGGTB', 'RABEP1', 'VPS45', 'DTD2', 'RAB32', 'RAB5B', 'RIN3', 'CCDC43', 'NCSTN', 'RABGEF1', 'SCML1', 'RAB3IP', 'HMMR', 'RAB5C', 'RABGGTA', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'PSENEN', 'TNRC6C', 'RAB1A', 'SHROOM3', 'CHML', 'GGA2', 'NAT8', 'RAB3GAP2', 'SALL1', 'GGA3', 'YWHAE', 'TRIM4', 'PPFIA3', 'EHD2', 'GDI1', 'MECP2', 'APH1A', 'AURKA', 'NTRK1', 'NGF', 'GDI2', 'RAB10', 'TBC1D17', 'SIRT2', 'RAB18', 'APP', 'RAB35', 'SUN2', 'DDX3Y', 'EHD1', 'GOLGA7B', 'RAB23', 'HPS1', 'ACOT13', 'RAB3GAP1', 'RAB3A', 'RAB22A', 'PTP4A2', 'RAB6A', 'RAB3IL1']
48	GO:BP	GO:0071840	cellular component organization or biogenesis	6.474085267566164e-06	True	"""A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cellular component."" [GOC:mah]"	6232	95	63	15719	0.6631578947368421	0.0101091142490372	query_1	['GO:0009987']	['RAB34', 'RAB14', 'RBSN', 'RAB1B', 'SORT1', 'TPX2', 'ANKLE2', 'RAB7A', 'RUFY1', 'EEA1', 'PAWR', 'OPTN', 'RAB39A', 'MICALL1', 'RAB8A', 'PSEN1', 'HTT', 'TMEM102', 'TMEM9', 'RAB31', 'HPS4', 'RAB8B', 'BACE1', 'RABEP1', 'RAB32', 'RAB5B', 'RIN3', 'RABGEF1', 'RAB3IP', 'RAB5C', 'RAB38', 'RAB5A', 'RAB4A', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'RAB1A', 'SHROOM3', 'NAT8', 'RAB3GAP2', 'PPFIA3', 'EHD2', 'GDI1', 'MECP2', 'AURKA', 'NTRK1', 'NGF', 'GDI2', 'RAB10', 'SIRT2', 'RAB18', 'APP', 'RAB35', 'SUN2', 'EHD1', 'RAB23', 'HPS1', 'ACOT13', 'RAB3GAP1', 'RAB3A', 'RAB22A', 'RAB6A']
40	GO:CC	GO:0005798	Golgi-associated vesicle	7.632680009389876e-06	True	"""Any vesicle associated with the Golgi complex and involved in mediating transport within the Golgi or between the Golgi and other parts of the cell."" [GOC:mah]"	90	95	7	16420	0.0736842105263157	0.0777777777777777	query_1	['GO:0031410']	['RAB14', 'SORT1', 'RAB8A', 'RAB8B', 'BACE1', 'RAB13', 'APP']
49	GO:BP	GO:0019882	antigen processing and presentation	8.530612406862446e-06	True	"""The process in which an antigen-presenting cell expresses antigen (peptide or lipid) on its cell surface in association with an MHC protein complex."" [GO_REF:0000022, GOC:add, ISBN:0781735149, PMID:15771591, PMID:15928678]"	101	95	8	15719	0.0842105263157894	0.0792079207920792	query_1	['GO:0002376']	['RAB34', 'RAB8B', 'RAB32', 'RAB5B', 'RAB4A', 'RAB10', 'RAB35', 'RAB6A']
50	GO:BP	GO:0032482	Rab protein signal transduction	8.748659656346645e-06	True	"""The series of molecular signals within the cell that are mediated by a member of the Rab family of proteins switching to a GTP-bound active state."" [GOC:mah]"	22	95	5	15719	0.0526315789473684	0.2272727272727272	query_1	['GO:0007265']	['RAB39A', 'RAB4A', 'RAB12', 'GDI1', 'RAB35']
51	GO:BP	GO:0007264	small GTPase mediated signal transduction	8.830764878244734e-06	True	"""The series of molecular signals in which a small monomeric GTPase relays a signal."" [GOC:mah]"	481	95	15	15719	0.1578947368421052	0.0311850311850311	query_1	['GO:0035556']	['RUFY1', 'RAB39A', 'RABGEF1', 'CHM', 'RAB38', 'RAB4A', 'NGFR', 'CHML', 'RAB12', 'GDI1', 'NTRK1', 'NGF', 'GDI2', 'RAB18', 'RAB35']
53	GO:BP	GO:0006904	vesicle docking involved in exocytosis	1.0039839260433046e-05	True	"""The initial attachment of a vesicle membrane to a target membrane, mediated by proteins protruding from the membrane of the vesicle and the target membrane, that contributes to exocytosis."" [GOC:aruk, GOC:bc, GOC:jid, PMID:22438915]"	43	95	6	15719	0.0631578947368421	0.1395348837209302	query_1	['GO:0048278', 'GO:0140029']	['RAB8A', 'RAB8B', 'RAB13', 'PPFIA3', 'RAB10', 'RAB3A']
52	GO:BP	GO:0097051	establishment of protein localization to endoplasmic reticulum membrane	1.0039839260433046e-05	True	"""The directed movement of a protein to a specific location in the endoplasmic reticulum membrane."" [GOC:rb, PMID:9388185]"	3	95	3	15719	0.031578947368421	1.0	query_1	['GO:0072599', 'GO:0090150']	['RAB3GAP2', 'RAB10', 'RAB3GAP1']
54	GO:BP	GO:0000045	autophagosome assembly	1.0490286531529595e-05	True	"""The formation of a double membrane-bounded structure, the autophagosome, that occurs when a specialized membrane sac, called the isolation membrane, starts to enclose a portion of the cytoplasm."" [GOC:autophagy, PMID:9412464]"	105	95	8	15719	0.0842105263157894	0.0761904761904762	query_1	['GO:0070925', 'GO:1905037']	['RAB1B', 'RAB7A', 'PSEN1', 'RAB5A', 'RAB1A', 'RAB3GAP2', 'RAB23', 'RAB3GAP1']
14	REAC	REAC:R-HSA-2979096	NOTCH2 Activation and Transmission of Signal to the Nucleus	1.2500083463695406e-05	True	NOTCH2 Activation and Transmission of Signal to the Nucleus	21	82	5	10022	0.0609756097560975	0.238095238095238	query_1	['REAC:R-HSA-1980145']	['PSEN1', 'APH1B', 'NCSTN', 'PSENEN', 'APH1A']
41	GO:CC	GO:0030667	secretory granule membrane	1.341662800181382e-05	True	"""The lipid bilayer surrounding a secretory granule."" [GOC:mah]"	307	95	11	16420	0.1157894736842105	0.0358306188925081	query_1	['GO:0030141', 'GO:0030659', 'GO:0098588']	['RAB14', 'RAB7A', 'PSEN1', 'RAB31', 'RAB5B', 'NCSTN', 'RAB5C', 'RAB10', 'RAB18', 'RAB3A', 'RAB6A']
55	GO:BP	GO:1990090	cellular response to nerve growth factor stimulus	1.4493966944258996e-05	True	"""A process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nerve growth factor stimulus."" [PMID:22399805, Wikipedia:Nerve_growth_factor]"	46	95	6	15719	0.0631578947368421	0.1304347826086956	query_1	['GO:0071363', 'GO:1990089']	['SORT1', 'NTRK1', 'NGF', 'APP', 'RAB35', 'EHD1']
56	GO:BP	GO:1905037	autophagosome organization	1.5561903966008336e-05	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an autophagosome."" [GOC:bf, GOC:PARL, GOC:TermGenie, PMID:22186024]"	111	95	8	15719	0.0842105263157894	0.072072072072072	query_1	['GO:0007033', 'GO:0016236']	['RAB1B', 'RAB7A', 'PSEN1', 'RAB5A', 'RAB1A', 'RAB3GAP2', 'RAB23', 'RAB3GAP1']
58	GO:BP	GO:1990089	response to nerve growth factor	1.5693787415412977e-05	True	"""A process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nerve growth factor stimulus."" [PMID:22399805]"	47	95	6	15719	0.0631578947368421	0.1276595744680851	query_1	['GO:0070848']	['SORT1', 'NTRK1', 'NGF', 'APP', 'RAB35', 'EHD1']
