Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
115	GO:BP	GO:0002440	production of molecular mediator of immune response	5.561018500941922e-13	True	"""The synthesis or release of any molecular mediator of the immune response, resulting in an increase in its intracellular or extracellular levels."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	215	100	17	15719	0.17	0.0790697674418604	query_1	['GO:0002376', 'GO:0010467']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'MSH3', 'PMS2', 'XRCC4', 'ERCC1', 'NHEJ1', 'EXO1', 'PRKDC', 'POLB', 'RNF8', 'MSH6']
116	GO:BP	GO:0031848	protection from non-homologous end joining at telomere	8.349520558115801e-13	True	"""A process that prevents non-homologous end joining at telomere, thereby ensuring that telomeres do not fuse."" [GOC:mah]"	10	100	7	15719	0.07	0.7	query_1	['GO:0016233', 'GO:0043247']	['ACD', 'TERF2', 'TERF2IP', 'ERCC1', 'ERCC4', 'DCLRE1B', 'XRCC1']
117	GO:BP	GO:0032508	DNA duplex unwinding	8.603261945990349e-13	True	"""The process in which interchain hydrogen bonds between two strands of DNA are broken or 'melted', generating a region of unpaired single strands."" [GOC:isa_complete, GOC:mah]"	75	100	12	15719	0.12	0.16	query_1	['GO:0032392']	['BRIP1', 'NBN', 'RAD50', 'XRCC6', 'CHD1L', 'POT1', 'XRCC5', 'RPA1', 'BLM', 'MRE11', 'RAD51', 'WRN']
118	GO:BP	GO:0031573	mitotic intra-S DNA damage checkpoint signaling	9.539450309903957e-13	True	"""A mitotic cell cycle checkpoint that slows DNA synthesis in response to DNA damage by the prevention of new origin firing and the stabilization of slow replication fork progression."" [GOC:vw]"	17	100	8	15719	0.08	0.4705882352941176	query_1	['GO:0044773']	['HUS1', 'RAD9B', 'MSH2', 'MDC1', 'FANCD2', 'RAD9A', 'MRE11', 'HUS1B']
119	GO:BP	GO:0002381	immunoglobulin production involved in immunoglobulin-mediated immune response	1.1507557903336245e-12	True	"""The appearance of immunoglobulin due to biosynthesis or secretion following a cellular stimulus during an immune response, resulting in an increase in its intracellular or extracellular levels."" [GOC:add, ISBN:0781735149, PMID:9185563]"	57	100	11	15719	0.11	0.1929824561403508	query_1	['GO:0002377', 'GO:0016064']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'RNF8', 'MSH6']
120	GO:BP	GO:1904357	negative regulation of telomere maintenance via telomere lengthening	2.1366361715136804e-12	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of telomere maintenance via telomere lengthening."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:nc, GOC:TermGenie, PMID:23959892]"	29	100	9	15719	0.09	0.3103448275862069	query_1	['GO:0010833', 'GO:0032205', 'GO:1904356']	['ACD', 'TERF2', 'TERF1', 'TINF2', 'TNKS2', 'POT1', 'PARP1', 'ERCC4', 'TNKS']
122	GO:BP	GO:0000012	single strand break repair	2.172801405991192e-12	True	"""The repair of single strand breaks in DNA. Repair of such breaks is mediated by the same enzyme systems as are used in base excision repair."" [PMID:18626472]"	11	100	7	15719	0.07	0.6363636363636364	query_1	['GO:0006281']	['TERF2', 'LIG4', 'APLF', 'TDP1', 'PARP1', 'APTX', 'XRCC1']
121	GO:BP	GO:0032392	DNA geometric change	2.172801405991192e-12	True	"""The process in which a transformation is induced in the geometry of a DNA double helix, resulting in a change in twist, writhe, or both, but with no change in linking number. Includes the unwinding of double-stranded DNA by helicases."" [GOC:mah]"	81	100	12	15719	0.12	0.1481481481481481	query_1	['GO:0071103']	['BRIP1', 'NBN', 'RAD50', 'XRCC6', 'CHD1L', 'POT1', 'XRCC5', 'RPA1', 'BLM', 'MRE11', 'RAD51', 'WRN']
31	GO:CC	GO:0070187	shelterin complex	2.3471011409973497e-12	True	"""A nuclear telomere cap complex that is formed by the association of telomeric ssDNA- and dsDNA-binding proteins with telomeric DNA, and is involved in telomere protection and recruitment of telomerase. The complex is known to contain TERF1, TERF2, POT1, RAP1, TINF2 and ACD in mammalian cells, and Pot1, Tpz1, Rap1, Rif1, Rif2 and Taz1 in Saccharomyces. Taz1 and Rap1 (or their mammalian equivalents) form a dsDNA-binding subcomplex, Pot1 and Tpz1 form an ssDNA-binding subcomplex, and the two subcomplexes are bridged by Poz1, which acts as an effector molecule along with Ccq1."" [GOC:expert_mf, GOC:mah, GOC:vw, PMID:18828880]"	7	100	6	16420	0.06	0.8571428571428571	query_1	['GO:0000783']	['ACD', 'TERF2', 'TERF2IP', 'TERF1', 'TINF2', 'POT1']
72	REAC	REAC:R-HSA-2559586	DNA Damage/Telomere Stress Induced Senescence	2.420252866751297e-12	True	DNA Damage/Telomere Stress Induced Senescence	79	97	13	10022	0.134020618556701	0.1645569620253164	query_1	['REAC:R-HSA-2559583']	['ACD', 'NBN', 'RAD50', 'TERF2', 'TERF2IP', 'H2AX', 'TERF1', 'TINF2', 'POT1', 'ATM', 'MRE11', 'CDK2', 'TP53']
32	GO:CC	GO:1902494	catalytic complex	2.626427780917993e-12	True	"""A protein complex which is capable of catalytic activity."" [GOC:bhm, GOC:TermGenie, PMID:8077207]"	1723	100	38	16420	0.38	0.0220545560069645	query_1	['GO:0032991']	['ACD', 'TP53BP1', 'POLD3', 'FANCI', 'LIG3', 'XRCC6', 'PAXIP1', 'LIG4', 'POLD4', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'AXIN1', 'XRCC4', 'XRCC5', 'NHEJ1', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'RAD51', 'TOP3A', 'PRIM2', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'POLD1', 'BARD1', 'RMI2', 'POLE2', 'RMI1', 'POLE', 'POLD2', 'RNF8']
123	GO:BP	GO:0034654	nucleobase-containing compound biosynthetic process	2.980920062201221e-12	True	"""The chemical reactions and pathways resulting in the formation of nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:mah]"	3709	100	58	15719	0.58	0.0156376381774063	query_1	['GO:0006139', 'GO:0018130', 'GO:0019438', 'GO:0044271', 'GO:1901362']	['RBBP8', 'ACD', 'BRIP1', 'MDM2', 'ATRX', 'TP53BP1', 'POLD3', 'RAD50', 'TERF2', 'PTEN', 'LIG3', 'XRCC6', 'HLTF', 'TERF2IP', 'PAXIP1', 'LIG4', 'POLD4', 'LIG1', 'TERF1', 'POLE4', 'TINF2', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'TNKS2', 'POT1', 'PARP1', 'DAXX', 'AXIN1', 'XRCC5', 'ERCC1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'USP7', 'APEX1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'USP2', 'POLD1', 'POLB', 'WRN', 'MDM4', 'TNKS', 'POLE2', 'TRIM27', 'TP53', 'PNKP', 'POLE', 'POLD2', 'RNF8']
124	GO:BP	GO:1902749	regulation of cell cycle G2/M phase transition	3.439655287322775e-12	True	"""Any signalling pathway that modulates the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G2 phase to M phase of the cell cycle."" [GO_REF:0000058, GOC:jl, GOC:TermGenie]"	109	100	13	15719	0.13	0.1192660550458715	query_1	['GO:0044839', 'GO:1901987']	['RBBP8', 'HUS1', 'NBN', 'RAD50', 'PAXIP1', 'BLM', 'ATM', 'MRE11', 'HUS1B', 'BRCA1', 'CDK2', 'BARD1', 'TP53']
125	GO:BP	GO:0031324	negative regulation of cellular metabolic process	4.412399577485539e-12	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]"	2090	100	43	15719	0.43	0.0205741626794258	query_1	['GO:0009892', 'GO:0031323', 'GO:0044237', 'GO:0048523']	['RBBP8', 'ACD', 'NBN', 'MDM2', 'MSH2', 'TP53BP1', 'RAD50', 'TERF2', 'PTEN', 'LIG3', 'XRCC6', 'TERF2IP', 'MLH1', 'MSH3', 'TERF1', 'TINF2', 'PCNA', 'TNKS2', 'POT1', 'PARP1', 'DAXX', 'AXIN1', 'XRCC5', 'ERCC1', 'ERCC4', 'BLM', 'ATM', 'APEX1', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'USP2', 'BARD1', 'MDM4', 'RMI2', 'TNKS', 'TRIM27', 'TP53', 'NEIL1', 'RNF8', 'MSH6']
33	GO:CC	GO:0000793	condensed chromosome	5.113215751650073e-12	True	"""A highly compacted molecule of DNA and associated proteins resulting in a cytologically distinct structure."" [GOC:elh]"	274	100	17	16420	0.17	0.0620437956204379	query_1	['GO:0005694']	['HUS1', 'RAD9B', 'ATRX', 'TP53BP1', 'RAD50', 'LIG4', 'MLH1', 'H2AX', 'BRCA2', 'RAD1', 'FANCD2', 'BLM', 'RAD9A', 'RAD51', 'HUS1B', 'BRCA1', 'CDK2']
126	GO:BP	GO:0018130	heterocycle biosynthetic process	6.512916819951169e-12	True	"""The chemical reactions and pathways resulting in the formation of heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings)."" [ISBN:0198547684]"	3775	100	58	15719	0.58	0.015364238410596	query_1	['GO:0044249', 'GO:0046483']	['RBBP8', 'ACD', 'BRIP1', 'MDM2', 'ATRX', 'TP53BP1', 'POLD3', 'RAD50', 'TERF2', 'PTEN', 'LIG3', 'XRCC6', 'HLTF', 'TERF2IP', 'PAXIP1', 'LIG4', 'POLD4', 'LIG1', 'TERF1', 'POLE4', 'TINF2', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'TNKS2', 'POT1', 'PARP1', 'DAXX', 'AXIN1', 'XRCC5', 'ERCC1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'USP7', 'APEX1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'USP2', 'POLD1', 'POLB', 'WRN', 'MDM4', 'TNKS', 'POLE2', 'TRIM27', 'TP53', 'PNKP', 'POLE', 'POLD2', 'RNF8']
127	GO:BP	GO:0019438	aromatic compound biosynthetic process	7.288480421265164e-12	True	"""The chemical reactions and pathways resulting in the formation of aromatic compounds, any substance containing an aromatic carbon ring."" [GOC:ai]"	3785	100	58	15719	0.58	0.0153236459709379	query_1	['GO:0006725', 'GO:0044249']	['RBBP8', 'ACD', 'BRIP1', 'MDM2', 'ATRX', 'TP53BP1', 'POLD3', 'RAD50', 'TERF2', 'PTEN', 'LIG3', 'XRCC6', 'HLTF', 'TERF2IP', 'PAXIP1', 'LIG4', 'POLD4', 'LIG1', 'TERF1', 'POLE4', 'TINF2', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'TNKS2', 'POT1', 'PARP1', 'DAXX', 'AXIN1', 'XRCC5', 'ERCC1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'USP7', 'APEX1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'USP2', 'POLD1', 'POLB', 'WRN', 'MDM4', 'TNKS', 'POLE2', 'TRIM27', 'TP53', 'PNKP', 'POLE', 'POLD2', 'RNF8']
73	REAC	REAC:R-HSA-73857	RNA Polymerase II Transcription	8.767387914872305e-12	True	RNA Polymerase II Transcription	1274	97	40	10022	0.4123711340206185	0.0313971742543171	query_1	['REAC:R-HSA-74160']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'MDM2', 'MSH2', 'RAD50', 'FANCI', 'PTEN', 'MLH1', 'H2AX', 'RPA2', 'MDC1', 'RAD1', 'PCNA', 'RPA3', 'PMS2', 'PARP1', 'DAXX', 'AXIN1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'USP7', 'EXO1', 'BRCA1', 'CDK2', 'USP2', 'BARD1', 'WRN', 'MDM4', 'RMI2', 'RMI1', 'TP53']
128	GO:BP	GO:0009411	response to UV	1.1547341628063405e-11	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ultraviolet radiation (UV light) stimulus. Ultraviolet radiation is electromagnetic radiation with a wavelength in the range of 10 to 380 nanometers."" [GOC:hb]"	150	100	14	15719	0.14	0.0933333333333333	query_1	['GO:0009416']	['HUS1', 'XPA', 'MSH2', 'POLD3', 'FEN1', 'BRCA2', 'PCNA', 'PARP1', 'ERCC1', 'ERCC4', 'POLD1', 'WRN', 'TP53', 'MSH6']
129	GO:BP	GO:0010639	negative regulation of organelle organization	1.2497978122596149e-11	True	"""Any process that decreases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle."" [GOC:dph, GOC:tb]"	351	100	19	15719	0.19	0.0541310541310541	query_1	['GO:0006996', 'GO:0033043', 'GO:0051129']	['ACD', 'NBN', 'ATRX', 'RAD50', 'TERF2', 'TERF2IP', 'TERF1', 'TINF2', 'RAD1', 'TNKS2', 'POT1', 'PARP1', 'ERCC1', 'ERCC4', 'ATM', 'BRCA1', 'XRCC1', 'TNKS', 'TP53']
130	GO:BP	GO:0044818	mitotic G2/M transition checkpoint	1.3070871059188516e-11	True	"""A cell cycle checkpoint that detects and negatively regulates progression from G2 to M phase as part of a mitotic cell cycle."" [GOC:mtg_cell_cycle]"	51	100	10	15719	0.1	0.196078431372549	query_1	['GO:0007093', 'GO:0010972']	['RBBP8', 'HUS1', 'NBN', 'RAD50', 'BLM', 'ATM', 'MRE11', 'HUS1B', 'BRCA1', 'BARD1']
131	GO:BP	GO:0051172	negative regulation of nitrogen compound metabolic process	1.417014562233978e-11	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]"	2264	100	44	15719	0.44	0.019434628975265	query_1	['GO:0006807', 'GO:0009892', 'GO:0051171']	['RBBP8', 'ACD', 'NBN', 'MDM2', 'MSH2', 'TP53BP1', 'RAD50', 'TERF2', 'PTEN', 'LIG3', 'XRCC6', 'TERF2IP', 'MLH1', 'MSH3', 'TERF1', 'TINF2', 'PCNA', 'TNKS2', 'POT1', 'PARP1', 'DAXX', 'AXIN1', 'XRCC5', 'ERCC1', 'ERCC4', 'BLM', 'ATM', 'USP7', 'APEX1', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'USP2', 'BARD1', 'MDM4', 'RMI2', 'TNKS', 'TRIM27', 'TP53', 'NEIL1', 'RNF8', 'MSH6']
132	GO:BP	GO:0000722	telomere maintenance via recombination	2.0575118988713028e-11	True	"""Any recombinational process that contributes to the maintenance of proper telomeric length."" [GOC:elh, PMID:11850777]"	14	100	7	15719	0.07	0.5	query_1	['GO:0000723', 'GO:0006312']	['RAD50', 'TERF2', 'BRCA2', 'ERCC1', 'ERCC4', 'RAD51', 'XRCC1']
133	GO:BP	GO:0032210	regulation of telomere maintenance via telomerase	2.3559494980775954e-11	True	"""Any process that modulates the frequency, rate or extent of the addition of telomeric repeats by telomerase."" [GOC:mah]"	54	100	10	15719	0.1	0.1851851851851851	query_1	['GO:0007004', 'GO:1904356', 'GO:2000278']	['ACD', 'TERF2', 'TERF1', 'TINF2', 'TNKS2', 'POT1', 'XRCC5', 'ATM', 'TNKS', 'PNKP']
34	GO:CC	GO:0070419	nonhomologous end joining complex	2.549888322626087e-11	True	"""A protein complex that plays a role in DNA double-strand break repair via nonhomologous end joining. Such complexes typically contain a specialized DNA ligase (e.g. Lig4 in eukaryotes) and one or more proteins that bind to DNA ends."" [GOC:mah, PMID:17072889, PMID:17938628]"	9	100	6	16420	0.06	0.6666666666666666	query_1	['GO:0140535', 'GO:1990391']	['XRCC6', 'LIG4', 'XRCC4', 'XRCC5', 'NHEJ1', 'PRKDC']
35	GO:CC	GO:0061695	transferase complex, transferring phosphorus-containing groups	2.7086718662191225e-11	True	"""A transferase complex capable of catalysis of the transfer of a phosphorus-containing group from one compound (donor) to another (acceptor)."" [GOC:bhm, GOC:dph]"	305	100	17	16420	0.17	0.0557377049180327	query_1	['GO:1990234']	['POLD3', 'XRCC6', 'POLD4', 'POLE4', 'POLA1', 'PRIM1', 'PCNA', 'XRCC5', 'POLE3', 'PRIM2', 'CDK2', 'PRKDC', 'POLA2', 'POLD1', 'POLE2', 'POLE', 'POLD2']
134	GO:BP	GO:0110025	DNA strand resection involved in replication fork processing	2.8374072684419743e-11	True	"""The 5' to 3' exonucleolytic resection of DNA at the site of a stalled replication fork that contributes to replication fork processing."" [GOC:mah, PMID:28475874]"	8	100	6	15719	0.06	0.75	query_1	['GO:0006259', 'GO:0031297']	['RBBP8', 'NBN', 'RAD50', 'MRE11', 'BRCA1', 'BARD1']
36	GO:CC	GO:0043227	membrane-bounded organelle	3.1329975082675974e-11	True	"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]"	12219	100	99	16420	0.99	0.0081021360176773	query_1	['GO:0043226']	['USP34', 'RBBP8', 'HUS1', 'ACD', 'RPA4', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MDM2', 'MSH2', 'RNF146', 'ATRX', 'TP53BP1', 'POLD3', 'RAD50', 'TERF2', 'FANCI', 'RAD52', 'PTEN', 'LIG3', 'XRCC6', 'HLTF', 'TERF2IP', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'LIG1', 'TERF1', 'POLE4', 'TINF2', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'OTUD3', 'PCNA', 'RPA3', 'TNKS2', 'CHD1L', 'POT1', 'PMS2', 'PARP1', 'DAXX', 'AXIN1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'USP7', 'DCLRE1B', 'APEX1', 'TMPO', 'PRIM2', 'HUS1B', 'EXO1', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'USP2', 'POLD1', 'BARD1', 'POLB', 'WRN', 'MDM4', 'RMI2', 'TNKS', 'POLE2', 'RMI1', 'TRIM27', 'TP53', 'PNKP', 'NEIL1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
135	GO:BP	GO:1901362	organic cyclic compound biosynthetic process	3.4559425350434794e-11	True	"""The chemical reactions and pathways resulting in the formation of organic cyclic compound."" [GOC:TermGenie]"	3923	100	58	15719	0.58	0.0147846036196788	query_1	['GO:1901360', 'GO:1901576']	['RBBP8', 'ACD', 'BRIP1', 'MDM2', 'ATRX', 'TP53BP1', 'POLD3', 'RAD50', 'TERF2', 'PTEN', 'LIG3', 'XRCC6', 'HLTF', 'TERF2IP', 'PAXIP1', 'LIG4', 'POLD4', 'LIG1', 'TERF1', 'POLE4', 'TINF2', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'TNKS2', 'POT1', 'PARP1', 'DAXX', 'AXIN1', 'XRCC5', 'ERCC1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'USP7', 'APEX1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'USP2', 'POLD1', 'POLB', 'WRN', 'MDM4', 'TNKS', 'POLE2', 'TRIM27', 'TP53', 'PNKP', 'POLE', 'POLD2', 'RNF8']
136	GO:BP	GO:0010605	negative regulation of macromolecule metabolic process	3.5069865959889956e-11	True	"""Any process that decreases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	2640	100	47	15719	0.47	0.0178030303030303	query_1	['GO:0009892', 'GO:0043170', 'GO:0060255']	['RBBP8', 'ACD', 'BRIP1', 'NBN', 'MDM2', 'MSH2', 'ATRX', 'TP53BP1', 'RAD50', 'TERF2', 'PTEN', 'LIG3', 'XRCC6', 'TERF2IP', 'MLH1', 'MSH3', 'TERF1', 'TINF2', 'PCNA', 'TNKS2', 'POT1', 'PARP1', 'DAXX', 'AXIN1', 'XRCC5', 'ERCC1', 'ERCC4', 'BLM', 'ATM', 'POLE3', 'USP7', 'APEX1', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'USP2', 'BARD1', 'MDM4', 'RMI2', 'TNKS', 'TRIM27', 'TP53', 'NEIL1', 'RNF8', 'MSH6']
137	GO:BP	GO:0061982	meiosis I cell cycle process	3.8109209431616046e-11	True	"""A process that contributes to the first meiotic division. The first meiotic division is the reductive division resulting in the separation of homologous chromosome pairs."" [PMID:29385397]"	132	100	13	15719	0.13	0.0984848484848484	query_1	['GO:1903046']	['BRIP1', 'RAD50', 'MLH1', 'TERF1', 'BRCA2', 'ERCC1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'RMI1', 'MSH6']
37	GO:CC	GO:0043229	intracellular organelle	4.316644891810182e-11	True	"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]"	12263	100	99	16420	0.99	0.0080730653184375	query_1	['GO:0005622', 'GO:0043226']	['USP34', 'RBBP8', 'HUS1', 'ACD', 'RPA4', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MDM2', 'MSH2', 'RNF146', 'ATRX', 'TP53BP1', 'POLD3', 'RAD50', 'TERF2', 'FANCI', 'RAD52', 'PTEN', 'LIG3', 'XRCC6', 'HLTF', 'TERF2IP', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'LIG1', 'TERF1', 'POLE4', 'TINF2', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'OTUD3', 'PCNA', 'RPA3', 'TNKS2', 'CHD1L', 'POT1', 'PMS2', 'PARP1', 'DAXX', 'AXIN1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'USP7', 'DCLRE1B', 'APEX1', 'TMPO', 'PRIM2', 'HUS1B', 'EXO1', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'USP2', 'POLD1', 'BARD1', 'POLB', 'WRN', 'MDM4', 'RMI2', 'TNKS', 'POLE2', 'RMI1', 'TRIM27', 'TP53', 'PNKP', 'NEIL1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
38	GO:CC	GO:0030896	checkpoint clamp complex	4.7772007199139767e-11	True	"""Conserved heterotrimeric complex of PCNA-like proteins that is loaded onto DNA at sites of DNA damage."" [PMID:12531008]"	5	100	5	16420	0.05	1.0	query_1	['GO:0000794', 'GO:0140513']	['HUS1', 'RAD9B', 'RAD1', 'RAD9A', 'HUS1B']
138	GO:BP	GO:0000731	DNA synthesis involved in DNA repair	4.7944360536894825e-11	True	"""Synthesis of DNA that proceeds from the broken 3' single-strand DNA end and uses the homologous intact duplex as the template."" [PMID:10357855]"	40	100	9	15719	0.09	0.225	query_1	['GO:0006281', 'GO:0071897']	['POLD3', 'POLD4', 'POLA1', 'PCNA', 'POLD1', 'WRN', 'POLE2', 'POLE', 'POLD2']
139	GO:BP	GO:0045910	negative regulation of DNA recombination	6.067193960555764e-11	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of DNA recombination."" [GOC:go_curators]"	41	100	9	15719	0.09	0.2195121951219512	query_1	['GO:0000018', 'GO:0006310', 'GO:0051053']	['MSH2', 'TP53BP1', 'TERF2', 'TERF2IP', 'MLH1', 'MSH3', 'BLM', 'RMI2', 'MSH6']
140	GO:BP	GO:0032201	telomere maintenance via semi-conservative replication	8.108213240396784e-11	True	"""The process in which telomeric DNA is synthesized semi-conservatively by the conventional replication machinery and telomeric accessory factors as part of cell cycle DNA replication."" [GOC:BHF, GOC:BHF_telomere, GOC:rl, GOC:vw, PMID:16598261]"	9	100	6	15719	0.06	0.6666666666666666	query_1	['GO:0000723', 'GO:0022402', 'GO:0033260']	['TERF2', 'FEN1', 'TERF1', 'PCNA', 'BLM', 'WRN']
141	GO:BP	GO:0010972	negative regulation of G2/M transition of mitotic cell cycle	9.579808823001661e-11	True	"""Any signalling pathway that decreases or inhibits the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G2 phase to M phase of the mitotic cell cycle."" [GOC:mtg_cell_cycle]"	62	100	10	15719	0.1	0.1612903225806451	query_1	['GO:0000086', 'GO:0010389', 'GO:1901991', 'GO:1902750']	['RBBP8', 'HUS1', 'NBN', 'RAD50', 'BLM', 'ATM', 'MRE11', 'HUS1B', 'BRCA1', 'BARD1']
39	GO:CC	GO:0044815	DNA packaging complex	1.0719111001253298e-10	True	"""A protein complex that plays a role in the process of DNA packaging."" [GOC:jl]"	33	100	8	16420	0.08	0.2424242424242424	query_1	['GO:0032991']	['ACD', 'TERF2', 'XRCC6', 'TERF2IP', 'TERF1', 'TINF2', 'POT1', 'XRCC5']
142	GO:BP	GO:0010638	positive regulation of organelle organization	1.0732940405569749e-10	True	"""Any process that increases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle."" [GOC:dph, GOC:tb]"	508	100	21	15719	0.21	0.0413385826771653	query_1	['GO:0006996', 'GO:0033043', 'GO:0051130']	['ACD', 'NBN', 'ATRX', 'RAD50', 'TERF2', 'TERF2IP', 'LIG4', 'FEN1', 'TERF1', 'TINF2', 'TNKS2', 'POT1', 'XRCC5', 'ERCC1', 'ATM', 'MRE11', 'CDK2', 'TNKS', 'TRIM27', 'TP53', 'PNKP']
143	GO:BP	GO:0002312	B cell activation involved in immune response	1.0930758295018231e-10	True	"""The change in morphology and behavior of a mature or immature B cell during an immune response, resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."" [GOC:jal]"	86	100	11	15719	0.11	0.127906976744186	query_1	['GO:0002285', 'GO:0042113']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'RNF8', 'MSH6']
74	REAC	REAC:R-HSA-69206	G1/S Transition	1.1119246095687271e-10	True	G1/S Transition	130	97	14	10022	0.1443298969072164	0.1076923076923077	query_1	['REAC:R-HSA-453279']	['RPA4', 'RPA2', 'POLE4', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'PRIM2', 'CDK2', 'POLA2', 'POLE2', 'POLE']
144	GO:BP	GO:0071480	cellular response to gamma radiation	1.2983674068627047e-10	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a gamma radiation stimulus. Gamma radiation is a form of electromagnetic radiation (EMR) or light emission of a specific frequency produced from sub-atomic particle interaction, such as electron-positron annihilation and radioactive decay. Gamma rays are generally characterized as EMR having the highest frequency and energy, and also the shortest wavelength, within the electromagnetic radiation spectrum."" [GOC:mah]"	29	100	8	15719	0.08	0.2758620689655172	query_1	['GO:0010332', 'GO:0071479']	['MDM2', 'XRCC6', 'H2AX', 'XRCC5', 'ATM', 'RAD51', 'WRN', 'TP53']
